"Source Name"	"Characteristics[barcode identifier]"	"Term Source REF"	"Term Accession Number"	"Characteristics[material role]"	"Term Source REF"	"Term Accession Number"	"Characteristics[chemical compound]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Experiment-5123]"	"Term Source REF"	"Term Accession Number"	"Characteristics[consomic_chromosome]"	"Term Source REF"	"Term Accession Number"	"Characteristics[mouse_strain]"	"Term Source REF"	"Term Accession Number"	"Characteristics[mouse_strain_description]"	"Term Source REF"	"Term Accession Number"	"Characteristics[feeding_description]"	"Term Source REF"	"Term Accession Number"	"Characteristics[feeding]"	"Term Source REF"	"Term Accession Number"	"Characteristics[RNAseq data availability]"	"Term Source REF"	"Term Accession Number"	"Characteristics[ABI-Chip data availability]"	"Term Source REF"	"Term Accession Number"	"Characteristics[sex]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of Mallory-Denk bodies by p62 staining]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment Mallory-Denk bodies by Ubiquitin staining]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of pigment]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of cellular ballooning]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of steatosis]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of ductulare reaction]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of inflammation]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of sclerosing cholangitis]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of apoptosis]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of necrosis]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Date"	"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[duration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"M118-1-3"	"308835"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	""	""	""	"6"	""	""	"C57BL/6J-Chr06<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"8 weeks of high fat diet to induce steatosis"	""	""	"8w HFD"	""	""	""	""	""	""	""	""	"male"	"PATO"	"http://purl.obolibrary.org/obo/PATO_0000384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"09/11/2010"	"M118-1-3"	"SAMPLE"	""	""	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1189"	"246333"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"15"	""	""	"C57BL/6J-Chr15<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"22/06/2010"	"M1189"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1190"	"246347"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"15"	""	""	"C57BL/6J-Chr15<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"22/06/2010"	"M1190"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1195"	"222851"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"8w DDC"	""	""	""	""	""	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"C57BL/6J steatohepatitis non-susceptible strain"	""	""	"8 weeks standard diet supplemented with 0.1% DDC (5-diethoxycarbonyl-1,4-dihydrocollidine) to induce steatohepatitis phenotype"	""	""	"8w DDC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1195"	"SAMPLE"	""	""	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1196"	"222865"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"8w DDC"	""	""	""	""	""	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"C57BL/6J steatohepatitis non-susceptible strain"	""	""	"8 weeks standard diet supplemented with 0.1% DDC (5-diethoxycarbonyl-1,4-dihydrocollidine) to induce steatohepatitis phenotype"	""	""	"8w DDC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1196"	"SAMPLE"	""	""	"5-diethoxycarbonyl-1,4-dihydrocollidine"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1197"	"222361"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	""	""	""	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"C57BL/6J steatohepatitis non-susceptible strain"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1197"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1198"	"222374"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	""	""	""	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"C57BL/6J steatohepatitis non-susceptible strain"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1198"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1199-1-4"	"303361"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	""	""	""	""	""	""	"A/J"	""	""	"A/J steatohepatitis susceptible strain"	""	""	"8 weeks of high fat diet to induce steatosis"	""	""	"8w HFD"	""	""	""	""	""	""	""	""	"male"	"PATO"	"http://purl.obolibrary.org/obo/PATO_0000384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"09/11/2010"	"M1199-1-4"	"SAMPLE"	""	""	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1304-1-4"	"311409"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	""	""	""	"4"	""	""	"C57BL/6J-Chr04<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"8 weeks of high fat diet to induce steatosis"	""	""	"8w HFD"	""	""	""	""	""	""	""	""	"male"	"PATO"	"http://purl.obolibrary.org/obo/PATO_0000384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"09/11/2010"	"M1304-1-4"	"SAMPLE"	""	""	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1339"	"222291"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	""	""	""	"PWD/PhJ"	""	""	"PWD steatohepatitis moderately susceptible strain"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1339"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1340"	"222309"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	""	""	""	"PWD/PhJ"	""	""	"PWD steatohepatitis moderately susceptible strain"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1340"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1341"	"222312"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	""	""	""	"PWD/PhJ"	""	""	"PWD steatohepatitis moderately susceptible strain"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1341"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1346"	"222615"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"8"	""	""	"C57BL/6J-Chr08<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1346"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1347"	"222629"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"8"	""	""	"C57BL/6J-Chr08<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1347"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1348"	"222632"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"8"	""	""	"C57BL/6J-Chr08<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1348"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1349"	"222646"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"8"	""	""	"C57BL/6J-Chr08<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1349"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1376-1-4"	"309106"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	""	""	""	"4"	""	""	"C57BL/6J-Chr04<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"8 weeks of high fat diet to induce steatosis"	""	""	"8w HFD"	""	""	""	""	""	""	""	""	"male"	"PATO"	"http://purl.obolibrary.org/obo/PATO_0000384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"09/11/2010"	"M1376-1-4"	"SAMPLE"	""	""	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1377-1-4"	"311339"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	""	""	""	"4"	""	""	"C57BL/6J-Chr04<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"8 weeks of high fat diet to induce steatosis"	""	""	"8w HFD"	""	""	""	""	""	""	""	""	"male"	"PATO"	"http://purl.obolibrary.org/obo/PATO_0000384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"09/11/2010"	"M1377-1-4"	"SAMPLE"	""	""	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1378-1-4"	"302718"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	""	""	""	"4"	""	""	"C57BL/6J-Chr04<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"8 weeks of high fat diet to induce steatosis"	""	""	"8w HFD"	""	""	""	""	""	""	""	""	"male"	"PATO"	"http://purl.obolibrary.org/obo/PATO_0000384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"09/11/2010"	"M1378-1-4"	"SAMPLE"	""	""	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1379"	"246277"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"14"	""	""	"C57BL/6J-Chr14<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"22/06/2010"	"M1379"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1380"	"246281"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"14"	""	""	"C57BL/6J-Chr14<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	"yes"	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"22/06/2010"	"M1380"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1381"	"246294"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"14"	""	""	"C57BL/6J-Chr14<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	"yes"	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"22/06/2010"	"M1381"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1382"	"246302"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"14"	""	""	"C57BL/6J-Chr14<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"22/06/2010"	"M1382"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1383"	"222388"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"1"	""	""	"C57BL/6J-Chr01<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1383"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1384"	"222391"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"1"	""	""	"C57BL/6J-Chr01<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1384"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1385"	"222400"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"1"	""	""	"C57BL/6J-Chr01<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1385"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1386"	"222413"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"1"	""	""	"C57BL/6J-Chr01<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1386"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1476-1-4"	"302665"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	""	""	""	"8"	""	""	"C57BL/6J-Chr08<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"8 weeks of high fat diet to induce steatosis"	""	""	"8w HFD"	""	""	""	""	""	""	""	""	"male"	"PATO"	"http://purl.obolibrary.org/obo/PATO_0000384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"09/11/2010"	"M1476-1-4"	"SAMPLE"	""	""	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"M1477-1-4"	"303461"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	""	""	""	"8"	""	""	"C57BL/6J-Chr08<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"8 weeks of high fat diet to induce steatosis"	""	""	"8w HFD"	""	""	""	""	""	""	""	""	"male"	"PATO"	"http://purl.obolibrary.org/obo/PATO_0000384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"09/11/2010"	"M1477-1-4"	"SAMPLE"	""	""	"high fat diet"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002757"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
